
persona_id,persona_name,country,persona_type,motivations,concerns,search_behaviour,prompt_id,prompt_category,prompt_type,subject,southampton_mentioned,competitor_university,prompt_text,geo_objective,expected_analysis_dimension,view
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P001,Direct Southampton,Evaluation,Computer Science,Yes,,I am thinking about Computer Science at the University of Southampton. What would an AI assistant usually say about its strengths and student experience?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P002,Direct Southampton,Evaluation,AI,Yes,,"How strong is Southampton for AI, especially for reputation, teaching quality and graduate outcomes?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P003,Direct Southampton,Evaluation,Economics,Yes,,Would the University of Southampton be a sensible option for Economics if I care about employability and campus life?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P004,Direct Southampton,Evaluation,Medicine,Yes,,What should I know before applying to Southampton for Medicine?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P005,Direct Southampton,Evaluation,General University Questions,Yes,,"If I asked for honest pros and cons of Southampton for General University Questions, what are the main things that might come up?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P006,Southampton Comparison,Comparison,Business,Yes,Bath,Should I choose Southampton or Bath for Business if I want strong career prospects?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P007,Southampton Comparison,Comparison,Psychology,Yes,Bristol,"How does Southampton compare with Bristol for Psychology, including reputation and student support?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P008,Southampton Comparison,Comparison,Mathematics,Yes,Manchester,"For Mathematics, which seems more attractive in AI search results: Southampton or Manchester?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P009,Southampton Comparison,Comparison,Data Science,Yes,Durham,Would Southampton or Durham be a better fit for a student looking at Data Science and good employability?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P010,Southampton Comparison,Comparison,Engineering,Yes,Leeds,What are the main differences between Southampton and Leeds for someone considering Engineering?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P011,Discovery,Discovery,Computer Science,No,,"What are the best UK universities for Computer Science, and what makes them stand out?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P012,Discovery,Discovery,AI,No,,Which universities should I shortlist in the UK for AI if I care about graduate outcomes?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P013,Discovery,Discovery,Economics,No,,Can you suggest strong UK universities for Economics with a good student experience?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P014,Discovery,Discovery,Medicine,No,,Which UK universities are often recommended for Medicine by AI assistants?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
