PromptID,Organisation,Market,Persona,Subject,ExpertiseArea,Intent,Platform,Prompt
P001,Moorhouse,UK,Prospective Student,Engineering,Aerospace,Compare Universities,ChatGPT,Best engineering options in UK for a prospective student interested in aerospace?
P002,Moorhouse,UK,Prospective Student,Engineering,Civil Systems,Find Programmes,Perplexity,Which UK universities lead in civil systems within engineering for UK applicants?
P003,Moorhouse,UK,Prospective Student,Medicine,Clinical Trials,Research Collaboration,Gemini,Best medicine options in UK for a prospective student interested in clinical trials?
P004,Moorhouse,UK,Prospective Student,Medicine,Public Health,Compare Universities,ChatGPT,Which UK universities lead in public health within medicine for UK applicants?
P005,Moorhouse,UK,Prospective Student,Computer Science,AI Safety,Find Programmes,Perplexity,Best computer science options in UK for a prospective student interested in ai safety?
P006,Moorhouse,UK,Prospective Student,Computer Science,Data Science,Research Collaboration,Gemini,Which UK universities lead in data science within computer science for UK applicants?
P007,Moorhouse,UK,Prospective Student,Business,MBA,Compare Universities,ChatGPT,Best business options in UK for a prospective student interested in mba?
P008,Moorhouse,UK,Prospective Student,Business,Entrepreneurship,Find Programmes,Perplexity,Which UK universities lead in entrepreneurship within business for UK applicants?
P009,Moorhouse,UK,Researcher,Engineering,Aerospace,Research Collaboration,Gemini,Best engineering options in UK for a researcher interested in aerospace?
P010,Moorhouse,UK,Researcher,Engineering,Civil Systems,Compare Universities,ChatGPT,Which UK universities lead in civil systems within engineering for UK applicants?
P011,Moorhouse,UK,Researcher,Medicine,Clinical Trials,Find Programmes,Perplexity,Best medicine options in UK for a researcher interested in clinical trials?
P012,Moorhouse,UK,Researcher,Medicine,Public Health,Research Collaboration,Gemini,Which UK universities lead in public health within medicine for UK applicants?
P013,Moorhouse,UK,Researcher,Computer Science,AI Safety,Compare Universities,ChatGPT,Best computer science options in UK for a researcher interested in ai safety?
P014,Moorhouse,UK,Researcher,Computer Science,Data Science,Find Programmes,Perplexity,Which UK universities lead in data science within computer science for UK applicants?
P015,Moorhouse,UK,Researcher,Business,MBA,Research Collaboration,Gemini,Best business options in UK for a researcher interested in mba?
P016,Moorhouse,UK,Researcher,Business,Entrepreneurship,Compare Universities,ChatGPT,Which UK universities lead in entrepreneurship within business for UK applicants?
P017,Moorhouse,India,Prospective Student,Engineering,Aerospace,Find Programmes,Perplexity,Best engineering options in India for a prospective student interested in aerospace?
P018,Moorhouse,India,Prospective Student,Engineering,Civil Systems,Research Collaboration,Gemini,Which UK universities lead in civil systems within engineering for India applicants?
P019,Moorhouse,India,Prospective Student,Medicine,Clinical Trials,Compare Universities,ChatGPT,Best medicine options in India for a prospective student interested in clinical trials?
P020,Moorhouse,India,Prospective Student,Medicine,Public Health,Find Programmes,Perplexity,Which UK universities lead in public health within medicine for India applicants?
P021,Moorhouse,India,Prospective Student,Computer Science,AI Safety,Research Collaboration,Gemini,Best computer science options in India for a prospective student interested in ai safety?
P022,Moorhouse,India,Prospective Student,Computer Science,Data Science,Compare Universities,ChatGPT,Which UK universities lead in data science within computer science for India applicants?
P023,Moorhouse,India,Prospective Student,Business,MBA,Find Programmes,Perplexity,Best business options in India for a prospective student interested in mba?
P024,Moorhouse,India,Prospective Student,Business,Entrepreneurship,Research Collaboration,Gemini,Which UK universities lead in entrepreneurship within business for India applicants?
P025,Moorhouse,India,Researcher,Engineering,Aerospace,Compare Universities,ChatGPT,Best engineering options in India for a researcher interested in aerospace?
P026,Moorhouse,India,Researcher,Engineering,Civil Systems,Find Programmes,Perplexity,Which UK universities lead in civil systems within engineering for India applicants?
P027,Moorhouse,India,Researcher,Medicine,Clinical Trials,Research Collaboration,Gemini,Best medicine options in India for a researcher interested in clinical trials?
P028,Moorhouse,India,Researcher,Medicine,Public Health,Compare Universities,ChatGPT,Which UK universities lead in public health within medicine for India applicants?
P029,Moorhouse,India,Researcher,Computer Science,AI Safety,Find Programmes,Perplexity,Best computer science options in India for a researcher interested in ai safety?
P030,Moorhouse,India,Researcher,Computer Science,Data Science,Research Collaboration,Gemini,Which UK universities lead in data science within computer science for India applicants?
P031,Moorhouse,India,Researcher,Business,MBA,Compare Universities,ChatGPT,Best business options in India for a researcher interested in mba?
P032,Moorhouse,India,Researcher,Business,Entrepreneurship,Find Programmes,Perplexity,Which UK universities lead in entrepreneurship within business for India applicants?
P033,Moorhouse,China,Prospective Student,Engineering,Aerospace,Research Collaboration,Gemini,Best engineering options in China for a prospective student interested in aerospace?
P034,Moorhouse,China,Prospective Student,Engineering,Civil Systems,Compare Universities,ChatGPT,Which UK universities lead in civil systems within engineering for China applicants?
P035,Moorhouse,China,Prospective Student,Medicine,Clinical Trials,Find Programmes,Perplexity,Best medicine options in China for a prospective student interested in clinical trials?
P036,Moorhouse,China,Prospective Student,Medicine,Public Health,Research Collaboration,Gemini,Which UK universities lead in public health within medicine for China applicants?
