ResultID,PromptID,Platform,ResponseText,SouthamptonVisible,SouthamptonRank,CompetitorsMentioned,CitationSources,RunDate
R001,P001,ChatGPT,Sample response for Engineering in UK.,0,,Imperial College London,,2026-08-01
R002,P002,Perplexity,Sample response for Engineering in UK.,1,2,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R003,P003,Gemini,Sample response for Medicine in UK.,1,3,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R004,P004,ChatGPT,Sample response for Medicine in UK.,1,5,"Imperial College London, UCL, University of Manchester, University of Edinburgh",,2026-08-01
R005,P005,Perplexity,Sample response for Computer Science in UK.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R006,P006,Gemini,Sample response for Computer Science in UK.,1,,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R007,P007,ChatGPT,Sample response for Business in UK.,1,1,"Imperial College London, UCL, University of Manchester",,2026-08-01
R008,P008,Perplexity,Sample response for Business in UK.,1,2,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
R009,P009,Gemini,Sample response for Engineering in UK.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R010,P010,ChatGPT,Sample response for Engineering in UK.,1,5,"Imperial College London, UCL",,2026-08-01
R011,P011,Perplexity,Sample response for Medicine in UK.,1,7,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R012,P012,Gemini,Sample response for Medicine in UK.,1,,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
R013,P013,ChatGPT,Sample response for Computer Science in UK.,0,,Imperial College London,,2026-08-01
R014,P014,Perplexity,Sample response for Computer Science in UK.,1,2,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R015,P015,Gemini,Sample response for Business in UK.,1,3,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R016,P016,ChatGPT,Sample response for Business in UK.,1,5,"Imperial College London, UCL, University of Manchester, University of Edinburgh",,2026-08-01
R017,P017,Perplexity,Sample response for Engineering in India.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R018,P018,Gemini,Sample response for Engineering in India.,1,,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R019,P019,ChatGPT,Sample response for Medicine in India.,1,1,"Imperial College London, UCL, University of Manchester",,2026-08-01
R020,P020,Perplexity,Sample response for Medicine in India.,1,2,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
R021,P021,Gemini,Sample response for Computer Science in India.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R022,P022,ChatGPT,Sample response for Computer Science in India.,1,5,"Imperial College London, UCL",,2026-08-01
R023,P023,Perplexity,Sample response for Business in India.,1,7,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R024,P024,Gemini,Sample response for Business in India.,1,,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
R025,P025,ChatGPT,Sample response for Engineering in India.,0,,Imperial College London,,2026-08-01
R026,P026,Perplexity,Sample response for Engineering in India.,1,2,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R027,P027,Gemini,Sample response for Medicine in India.,1,3,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R028,P028,ChatGPT,Sample response for Medicine in India.,1,5,"Imperial College London, UCL, University of Manchester, University of Edinburgh",,2026-08-01
R029,P029,Perplexity,Sample response for Computer Science in India.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R030,P030,Gemini,Sample response for Computer Science in India.,1,,"Imperial College London, UCL",southampton.ac.uk; qs.com,2026-08-01
R031,P031,ChatGPT,Sample response for Business in India.,1,1,"Imperial College London, UCL, University of Manchester",,2026-08-01
R032,P032,Perplexity,Sample response for Business in India.,1,2,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
R033,P033,Gemini,Sample response for Engineering in China.,0,,Imperial College London,southampton.ac.uk; qs.com,2026-08-01
R034,P034,ChatGPT,Sample response for Engineering in China.,1,5,"Imperial College London, UCL",,2026-08-01
R035,P035,Perplexity,Sample response for Medicine in China.,1,7,"Imperial College London, UCL, University of Manchester",southampton.ac.uk; qs.com,2026-08-01
R036,P036,Gemini,Sample response for Medicine in China.,1,,"Imperial College London, UCL, University of Manchester, University of Edinburgh",southampton.ac.uk; qs.com,2026-08-01
