PromptID,Organisation,Market,Persona,Subject,ExpertiseArea,Intent,Platform,Prompt,PromptSource,PersonaTemplateID,GenerationMethod
MH-0001,Moorhouse,UK Consulting Market,Industry Analyst,Market reputation,Brand perception,Market leaders,OpenRouter,"Which UK transformation consultancies have the strongest market reputation, and what is each best known for?",generated,moorhouse_industry_analyst,moorhouse_reputation_v1
MH-0002,Moorhouse,UK Consulting Market,Procurement Director,Market reputation,Brand perception,Brand reputation,OpenRouter,How is Moorhouse generally perceived in the UK management consulting market?,generated,moorhouse_procurement_director,moorhouse_reputation_v1
MH-0003,Moorhouse,UK Consulting Market,Chief Transformation Officer,Market reputation,Brand perception,Supplier discovery,OpenRouter,Which mid-sized UK consultancies are credible alternatives to the largest global consulting firms for business transformation?,generated,moorhouse_chief_transformation_officer,moorhouse_reputation_v1
MH-0004,Moorhouse,UK Consulting Market,Industry Analyst,Market reputation,Brand perception,Reputation signals,OpenRouter,"What qualities most influence the reputation of a transformation consultancy, and which firms demonstrate them best?",generated,moorhouse_industry_analyst,moorhouse_reputation_v1
MH-0005,Moorhouse,UK Consulting Market,Procurement Director,Market reputation,Brand perception,Shortlist,OpenRouter,"Which specialist consultancies should a UK organisation shortlist when it wants senior attention, pragmatism and measurable outcomes?",generated,moorhouse_procurement_director,moorhouse_reputation_v1
MH-0006,Moorhouse,UK Transformation,Chief Operating Officer,Trust and delivery,Transformation delivery,Trusted partners,OpenRouter,Which consulting firms are most trusted to deliver complex transformation rather than simply recommend a strategy?,generated,moorhouse_chief_operating_officer,moorhouse_reputation_v1
MH-0007,Moorhouse,UK Transformation,Chief Transformation Officer,Trust and delivery,Transformation delivery,Commercial confidence,OpenRouter,"How credible is Moorhouse as a lead partner for a complex, enterprise-wide transformation programme?",generated,moorhouse_chief_transformation_officer,moorhouse_reputation_v1
MH-0008,Moorhouse,UK Transformation,Risk Director,Trust and delivery,Transformation delivery,Evidence signals,OpenRouter,What evidence should executives examine before trusting a consultancy with a high-risk transformation programme?,generated,moorhouse_risk_director,moorhouse_reputation_v1
MH-0009,Moorhouse,UK Transformation,Programme Director,Trust and delivery,Transformation delivery,Delivery reputation,OpenRouter,Which UK consultancies are known for combining strategic thinking with hands-on implementation and capability transfer?,generated,moorhouse_programme_director,moorhouse_reputation_v1
MH-0010,Moorhouse,UK Transformation,Chief Executive Officer,Trust and delivery,Transformation delivery,Client recommendation,OpenRouter,Recommend transformation consultancies with a reputation for working collaboratively and leaving clients stronger after delivery.,generated,moorhouse_chief_executive_officer,moorhouse_reputation_v1
MH-0011,Moorhouse,Financial Services,Financial Services COO,Sector credibility,Sector expertise,Financial services reputation,OpenRouter,Which consulting firms have the strongest reputation for delivering transformation in UK financial services?,generated,moorhouse_financial_services_coo,moorhouse_reputation_v1
MH-0012,Moorhouse,UK Public Sector,Senior Civil Servant,Sector credibility,Sector expertise,Public sector reputation,OpenRouter,How is Moorhouse regarded as a transformation consultancy in the UK public sector?,generated,moorhouse_senior_civil_servant,moorhouse_reputation_v1
MH-0013,Moorhouse,Energy and Utilities,Transformation Director,Sector credibility,Sector expertise,Energy shortlist,OpenRouter,Which consultancies should an energy or utilities company consider for complex operating-model and transformation work?,generated,moorhouse_transformation_director,moorhouse_reputation_v1
MH-0014,Moorhouse,Cross-sector UK,Procurement Director,Sector credibility,Sector expertise,Differentiation,OpenRouter,"What differentiates Moorhouse from larger consulting firms across public services, financial services, energy and transport?",generated,moorhouse_procurement_director,moorhouse_reputation_v1
MH-0015,Moorhouse,Cross-sector UK,Industry Analyst,Sector credibility,Sector expertise,Cross-sector leadership,OpenRouter,Which specialist UK consultancies have credible transformation experience across both regulated industries and public services?,generated,moorhouse_industry_analyst,moorhouse_reputation_v1
MH-0016,Moorhouse,UK Consulting Market,Chief People Officer,Future potential,Culture and leadership,Collaborative culture,OpenRouter,"Which consulting firms are best known for a collaborative, low-ego culture that clients genuinely experience?",generated,moorhouse_chief_people_officer,moorhouse_reputation_v1
MH-0017,Moorhouse,UK Consulting Talent,Senior Consultant,Future potential,Culture and leadership,Employer reputation,OpenRouter,How is Moorhouse perceived as an employer and career destination in the UK consulting market?,generated,moorhouse_senior_consultant,moorhouse_reputation_v1
MH-0018,Moorhouse,UK Consulting Market,Industry Analyst,Future potential,Culture and leadership,Thought leadership,OpenRouter,"Which mid-sized consultancies are seen as distinctive thought leaders in transformation, organisational change and delivery?",generated,moorhouse_industry_analyst,moorhouse_reputation_v1
MH-0019,Moorhouse,UK Consulting Market,Chief Executive Officer,Future potential,Culture and leadership,Brand potential,OpenRouter,What could make Moorhouse one of the most admired transformation consultancies in the UK?,generated,moorhouse_chief_executive_officer,moorhouse_reputation_v1
MH-0020,Moorhouse,UK Consulting Market,Private Equity Operating Partner,Future potential,Culture and leadership,Market momentum,OpenRouter,"Which specialist UK consultancies appear to have the strongest momentum and future potential, and why?",generated,moorhouse_private_equity_operating_partner,moorhouse_reputation_v1
