PromptID,Market,Persona,Subject,Category,Prompt,Model 1,Model 2,Model 3,Organisation,ExpertiseArea,Intent,Platform,PromptSource,PersonaTemplateID,GenerationMethod
UOS-0001,UK,Prospective Student (Undergraduate),General,University Overview,Which UK universities would be a good fit for someone like me?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0002,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are known for offering the best overall student experience?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0003,UK,Prospective Student (Undergraduate),General,University Overview,Which universities consistently receive high student satisfaction ratings?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0004,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are becoming increasingly popular with applicants?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0005,UK,Prospective Student (Undergraduate),General,University Overview,Which universities offer the best balance between academic quality and student life?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0006,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are known for having a strong sense of community?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0007,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the most diverse student populations?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0008,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are best suited to students who want a supportive environment?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0009,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the strongest campus culture?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0010,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the best overall reputation among UK students?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0011,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities are known for excellent teaching?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0012,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities provide the most engaging learning experience?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0013,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities offer the best academic support for undergraduates?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0014,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities encourage students to gain practical experience during their degree?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0015,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities provide the best access to lecturers and tutors?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0016,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities have the strongest undergraduate learning environment?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0017,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities have the best graduate employment outcomes?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0018,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities are most highly regarded by employers?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0019,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities provide the strongest careers support?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0020,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities offer the best placement and internship opportunities?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0021,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities have the strongest employer connections?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0022,UK,Prospective Student (Undergraduate),General,Careers & Employability,Which universities are best for building professional networks?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0023,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities offer the best student life?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0024,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities have the most active student societies?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0025,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities are known for welcoming first-year students?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0026,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities offer the best balance between studying and social life?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0027,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities have the most vibrant student communities?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0028,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities offer the widest range of extracurricular opportunities?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0029,UK,Prospective Student (Undergraduate),General,Location,Which university cities are considered the best places to live as a student?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0030,UK,Prospective Student (Undergraduate),General,Location,Which universities are located in the safest student cities?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0031,UK,Prospective Student (Undergraduate),General,Location,Which universities are best for students who enjoy city life?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0032,UK,Prospective Student (Undergraduate),General,Location,Which universities are best for students who prefer a campus environment?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0033,UK,Prospective Student (Undergraduate),General,Location,Which universities have the best transport links?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0034,UK,Prospective Student (Undergraduate),General,Location,Which universities are in the most affordable places to live?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0035,UK,Prospective Student (Undergraduate),General,Facilities,Which universities offer the best student accommodation?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0036,UK,Prospective Student (Undergraduate),General,Facilities,Which universities provide the best value for money?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0037,UK,Prospective Student (Undergraduate),General,Facilities,Which universities have the lowest living costs for students?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0038,UK,Prospective Student (Undergraduate),General,Facilities,Which universities offer the most generous financial support?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0039,UK,Prospective Student (Undergraduate),General,Facilities,Which universities make it easiest to find accommodation?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0040,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities are known for excellent wellbeing support?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0041,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities provide the best academic support services?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0042,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities are best at supporting students through their first year?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0043,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities are particularly supportive of students from different backgrounds?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0044,UK,Prospective Student (Undergraduate),General,Student Experience,Which universities have the strongest student support services overall?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0045,UK,Prospective Student (Undergraduate),General,Reputation,Which universities have the happiest students?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0046,UK,Prospective Student (Undergraduate),General,Reputation,Which universities are most highly recommended by recent graduates?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0047,UK,Prospective Student (Undergraduate),General,Reputation,Which universities exceed students' expectations?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0048,UK,Prospective Student (Undergraduate),General,Reputation,Which universities offer the best all-round undergraduate experience?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0049,UK,Prospective Student (Undergraduate),General,Reputation,"If you could recommend five UK universities for an undergraduate, which would you choose and why?",OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0050,UK,Prospective Student (Postgraduate),General,University Overview,Which UK universities would be a good fit for postgraduate study?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0051,UK,Prospective Student (Postgraduate),General,University Overview,Which universities offer the best overall postgraduate experience?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0052,UK,Prospective Student (Postgraduate),General,University Overview,Which universities have the strongest reputation for postgraduate education?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0053,UK,Prospective Student (Postgraduate),General,University Overview,Which universities are particularly popular with postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0054,UK,Prospective Student (Postgraduate),General,University Overview,Which universities provide the best balance between academic quality and student experience?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0055,UK,Prospective Student (Postgraduate),General,University Overview,Which universities are known for supporting postgraduate students well?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0056,UK,Prospective Student (Postgraduate),General,University Overview,Which universities have the strongest postgraduate communities?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0057,UK,Prospective Student (Postgraduate),General,University Overview,Which universities offer the most diverse postgraduate student population?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0058,UK,Prospective Student (Postgraduate),General,University Overview,Which universities are best for mature students?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0059,UK,Prospective Student (Postgraduate),General,University Overview,Which universities have the strongest overall reputation for postgraduate study?,OpenAI,Anthropic,Gemini,University of Southampton,University Overview,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0060,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities are known for excellent postgraduate teaching?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0061,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities provide the best postgraduate learning environment?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0062,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities offer the strongest academic support for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0063,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities give postgraduate students the best access to academics?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0064,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities encourage collaboration between students and researchers?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0065,UK,Prospective Student (Postgraduate),General,Academic Experience,Which universities provide the best opportunities to develop advanced skills?,OpenAI,Anthropic,Gemini,University of Southampton,Academic Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
