PromptID,Market,Persona,Subject,Category,Prompt,Model 1,Model 2,Model 3
,UK,Prospective Student (Undergraduate),General,University Overview,Which UK universities would be a good fit for someone like me?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are known for offering the best overall student experience?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities consistently receive high student satisfaction ratings?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are becoming increasingly popular with applicants?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities offer the best balance between academic quality and student life?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are known for having a strong sense of community?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the most diverse student populations?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities are best suited to students who want a supportive environment?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the strongest campus culture?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,University Overview,Which universities have the best overall reputation among UK students?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities are known for excellent teaching?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities provide the most engaging learning experience?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities offer the best academic support for undergraduates?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities encourage students to gain practical experience during their degree?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities provide the best access to lecturers and tutors?,OpenAI,Anthropic,Gemini
,UK,Prospective Student (Undergraduate),General,Academic Experience,Which universities have the strongest undergraduate learning environment?,OpenAI,Anthropic,Gemini
